FIRST_DNAM,FIRST_CHIE,mean_rain,Year,Month
PORT LOKO,BAKEH LOKO,1.880585,2015,2
PORT LOKO,BUREH,0.8368225,2015,2
PORT LOKO,KAFFU BULLOM,0.8691952,2015,2
PORT LOKO,KAMASONDO,1.5379487,2015,2
PORT LOKO,KASSEH,1.2973273,2015,2
PORT LOKO,KOYA,2.6792207,2015,2
PORT LOKO,LOKOMASAMA,2.6153648,2015,2
PORT LOKO,MACONTEH,1.1333938,2015,2
PORT LOKO,MAFORKI,1.7651335,2015,2
PORT LOKO,MAKAMA,2.7111068,2015,2
PORT LOKO,MARAMPA,1.4412255,2015,2
PORT LOKO,MASIMERA,2.0743978,2015,2
PORT LOKO,THAINKATOPA,2.5425305,2015,2
PORT LOKO,PORT LOKO CITY,1.620668,2015,2
BO,BADJIA,4.8102255,2015,2
BO,BAGBO,4.960418,2015,2
BO,BAGBWE(BAGBE),4.1416245,2015,2
BO,BOAMA,3.0563908,2015,2
BO,BONGOR,2.9508052,2015,2
BO,BUMPE NGAO,6.385924,2015,2
BO,GBO,3.2021842,2015,2
BO,JAIAMA,3.9391582,2015,2
BO,KAKUA,3.095901,2015,2
BO,KOMBOYA,4.77465,2015,2
BO,LUGBU,3.4799318,2015,2
BO,NIAWA LENGA,2.5545008,2015,2
BO,SELENGA,3.1910212,2015,2
BO,TIKONKO,3.304608,2015,2
BO,VALUNIA,5.0409217,2015,2
BO,WONDE,3.3988883,2015,2
BO,BO TOWN,1.4941443,2015,2
BONTHE,BENDU-CHA,3.4488208,2015,2
BONTHE,BUM,13.168544,2015,2
BONTHE,DEMA,1.956001,2015,2
BONTHE,IMPERRI,3.9961648,2015,2
BONTHE,JONG,5.663443,2015,2
BONTHE,KPANDA KEMO,4.7708354,2015,2
BONTHE,KWAMEBAI KRIM,10.174769,2015,2
BONTHE,NONGOBA BULLOM,4.7725716,2015,2
BONTHE,SITTIA,4.3489695,2015,2
BONTHE,SOGBENI,6.579431,2015,2
BONTHE,YAWBEKO,3.8116343,2015,2
BONTHE,BONTHE URBAN,3.894867,2015,2
MOYAMBA,BAGRUWA,4.831003,2015,2
MOYAMBA,BUMPEH,4.7986875,2015,2
MOYAMBA,DASSE,3.1673188,2015,2
MOYAMBA,FAKUNYA,4.248098,2015,2
MOYAMBA,KAGBORO,4.3955483,2015,2
MOYAMBA,KAIYAMBA,3.9839597,2015,2
MOYAMBA,KAMAJEI,2.4513073,2015,2
MOYAMBA,KONGBORA,4.985906,2015,2
MOYAMBA,KORI,4.2683444,2015,2
MOYAMBA,KOWA,2.9724214,2015,2
MOYAMBA,LOWER BANTA,3.860262,2015,2
MOYAMBA,RIBBI,2.1636724,2015,2
MOYAMBA,TIMDALE,4.681651,2015,2
MOYAMBA,UPPER BANTA,4.657696,2015,2
PUJEHUN,BARRI,10.618155,2015,2
PUJEHUN,PERRI,7.0797324,2015,2
PUJEHUN,KABONDE,2.916692,2015,2
PUJEHUN,KPAKA,5.3554025,2015,2
PUJEHUN,MAKPELE,7.37925,2015,2
PUJEHUN,MALEN,6.967194,2015,2
PUJEHUN,MONO SAKRIM,2.6597655,2015,2
PUJEHUN,PANGA,5.8021765,2015,2
PUJEHUN,PANGA KRIM,1.60396,2015,2
PUJEHUN,PEJEH (FUTA PEJE),3.7967525,2015,2
PUJEHUN,GALLINESS,6.4000106,2015,2
PUJEHUN,SORO GBEMA,8.875955,2015,2
PUJEHUN,SOWA,4.679936,2015,2
PUJEHUN,YAKEMU KPUKUMU,3.9414856,2015,2
WESTERN RURAL,KOYA RURAL,1.9692583,2015,2
WESTERN RURAL,MOUNTAIN RURAL,1.1391627,2015,2
WESTERN RURAL,WATERLOO RURAL,2.56459,2015,2
WESTERN RURAL,YORK RURAL,0.77394205,2015,2
WESTERN URBAN,CENTRAL I,4.673157,2015,2
WESTERN URBAN,CENTRAL II,0.0,2015,2
WESTERN URBAN,EAST I,0.0,2015,2
WESTERN URBAN,EAST II,0.0,2015,2
WESTERN URBAN,EAST III,0.44385242,2015,2
WESTERN URBAN,WEST I,0.0,2015,2
WESTERN URBAN,WEST II,0.0,2015,2
WESTERN URBAN,WEST III,0.6074067,2015,2
KAILAHUN,DEA,21.246775,2015,3
KAILAHUN,JAHN,9.840125,2015,3
KAILAHUN,JAWIE,9.024201,2015,3
KAILAHUN,KISSI KAMA,11.698026,2015,3
KAILAHUN,KISSI TENG,7.317912,2015,3
KAILAHUN,KISSI TONGI,10.181919,2015,3
KAILAHUN,KPEJE BONGRE,5.8506885,2015,3
KAILAHUN,KPEJE WEST,8.646647,2015,3
KAILAHUN,LUAWA,12.703758,2015,3
KAILAHUN,MALEMA,20.197897,2015,3
KAILAHUN,MANDU,12.228933,2015,3
KAILAHUN,NJALUAHUN,6.2340527,2015,3
KAILAHUN,PENGUIA,10.383606,2015,3
KAILAHUN,UPPER BAMBARA,13.702655,2015,3
KAILAHUN,YAWEI,10.5021925,2015,3
KENEMA,DAMA,11.922193,2015,3
